,latitude,longitude,endereco,nome,start_timestamp,end_timestamp
0,-158114181.0,-477889529.0,"Altiplano Leste - Paranoá, Brasília - DF, 70297-400, Brasil","Minichácaras South Lake,",2018-01-09 14:35:41.000,2018-01-09 14:55:21.278
1,-157829077.0,-479952312.0,"Qd 01 CONJ 4 LOJA 3, St. Leste - Guará, Brasília - DF, 71261-030, Brasil",La Pizza,2018-01-09 15:31:05.293,2018-01-09 15:37:32.421
2,-157918624.0,-481244985.0,"Eqno 03/05, St. O EQNO 3/5 - Ceilândia, Brasília - DF, 72250-510, Brasil",CEM 09 de Ceilândia,2018-01-13 21:36:01.511,2018-01-13 22:20:49.186
3,-157897378.0,-481275439.0,"Eqno 5/7 Bl A Lt 1, s/n LT1 A 5, Ceilândia, Brasília - DF, 72251-001, Brasil",Commercial Food,2018-01-13 22:32:29.592,2018-01-13 22:41:32.827
4,-156849751.0,-481986768.0,"Df 415 - Km 8,8 Vicinal À Esquerda Rural, Brazlândia, Brasília - DF, Brasil",Environmental Protection Area of ​​the River Basin Discovered,2018-01-13 23:34:51.487,2018-01-14 13:22:24.924
5,-156849751.0,-481986768.0,"Df 415 - Km 8,8 Vicinal À Esquerda Rural, Brazlândia, Brasília - DF, Brasil",Environmental Protection Area of ​​the River Basin Discovered,2018-01-14 14:19:02.771,2018-01-14 15:20:10.062
6,-158412353.0,-480439640.0,"Qs 1, 210 - Lote 40 - Taguatinga, Brasília - DF, 71950-904, Brasil",Taguatinga Shopping,2018-01-14 15:29:13.085,2018-01-14 17:59:54.186
7,-274303112.0,-484498273.0,"R. Antônio Heil, 212 - Canasvieiras, Florianópolis - SC, 88054-160, Brasil",Residencial Sol e Mar de Floripa,2018-01-21 22:37:06.142,2018-01-22 23:52:13.039
8,-274258949.0,-484458895.0,"R. das Buganvílias, 123 - Cachoeira do Bom Jesus, Florianópolis - SC, 88056-025, Brasil",Hotel Porto Sol - Cachoeira do Bom Jesus e Ingleses,2018-01-24 04:07:26.333,2018-01-24 18:52:08.227
9,-274322043.0,-484583266.0,"Av. das Nações, 225 - Sala 05 - Canasvieiras, Florianópolis - SC, 88054-010, Brasil",Lotérica GADU,2018-01-24 19:17:18.000,2018-01-24 19:44:31.388
10,-274303112.0,-484498273.0,"R. Antônio Heil, 212 - Canasvieiras, Florianópolis - SC, 88054-160, Brasil",Residencial Sol e Mar de Floripa,2018-01-31 17:15:23.499,2018-01-31 17:28:35.036
11,-274258438.0,-484501342.0,"Trapiche - Canasvieiras, Florianópolis - Santa Catarina, 88054-160, Brasil",Trapiche Canasvieiras,2018-01-31 17:43:06.233,2018-01-31 17:51:18.066
12,-274271924.0,-484562211.0,"R. Antenor Borges, 241 - Canasvieiras, Florianópolis - SC, 88054-070, Brasil",Restaurante Terra Santa Canasvieiras,2018-01-31 17:59:34.000,2018-01-31 20:02:21.000
13,-274303112.0,-484498273.0,"R. Antônio Heil, 212 - Canasvieiras, Florianópolis - SC, 88054-160, Brasil",Residencial Sol e Mar de Floripa,2018-01-31 20:05:10.000,2018-02-02 12:46:55.307
